LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId
HI,Hawaii,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,77541842,$,Dollars,"(21.304850435, -157.857749403)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WY,Wyoming,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,24084000,$,Dollars,"(43.235541343, -108.109830353)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
ND,North Dakota,2008,OW,The Tax Burden on Tobacco,Cigarette Sales,20870634,$,Dollars,"(47.475319779, -100.118421049)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
FL,Florida,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,425732302,$,Dollars,"(28.932040377, -81.928960539)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MS,Mississippi,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,52497860,$,Dollars,"(32.745510099, -89.538030825)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MA,Massachusetts,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,148323000,$,Dollars,"(42.27687047, -72.082690675)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
SD,South Dakota,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,14943000,$,Dollars,"(44.353130053, -100.373530637)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
PA,Pennsylvania,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,346045000,$,Dollars,"(40.793730152, -77.860700294)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
LA,Louisiana,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,125960220,$,Dollars,"(31.312660644, -92.445680071)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
TX,Texas,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,1330330418,$,Dollars,"(31.827240407, -99.426770206)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
AK,Alaska,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,52702165,$,Dollars,"(64.845079957001, -147.722059036)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WA,Washington,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,125013254,$,Dollars,"(47.522278629, -120.47001079)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WY,Wyoming,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,6331000,$,Dollars,"(43.235541343, -108.109830353)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MN,Minnesota,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,85350189,$,Dollars,"(46.355648736, -94.794200503)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NM,New Mexico,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,10731000,$,Dollars,"(34.520880952, -106.240580985)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WY,Wyoming,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,6033000,$,Dollars,"(43.235541343, -108.109830353)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
AK,Alaska,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,46021896,$,Dollars,"(64.845079957001, -147.722059036)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MO,Missouri,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,105034591,$,Dollars,"(38.635790776, -92.566300053)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
PA,Pennsylvania,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,252983000,$,Dollars,"(40.793730152, -77.860700294)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MI,Michigan,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,267058000,$,Dollars,"(44.661319543001, -84.71439027)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
AZ,Arizona,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,296712275,$,Dollars,"(34.86597028, -111.763811277)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WV,West Virginia,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,28102000,$,Dollars,"(38.665510202, -80.712640135)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
RI,Rhode Island,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,34147000,$,Dollars,"(41.708280193, -71.522470314)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NC,North Carolina,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,19426000,$,Dollars,"(35.466220975, -79.159250463)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CA,California,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,251614000,$,Dollars,"(37.638640123, -120.999999538)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
DC,District of Columbia,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,17420000,$,Dollars,"(38.890371385, -77.031961127)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
AZ,Arizona,2008,OW,The Tax Burden on Tobacco,Cigarette Sales,397172122,$,Dollars,"(34.86597028, -111.763811277)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
DC,District of Columbia,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,20488000,$,Dollars,"(38.890371385, -77.031961127)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
VT,Vermont,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,12040932,$,Dollars,"(43.625381239, -72.517640791)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WV,West Virginia,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,35562000,$,Dollars,"(38.665510202, -80.712640135)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NM,New Mexico,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,85115670,$,Dollars,"(34.520880952, -106.240580985)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WV,West Virginia,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,165050460,$,Dollars,"(38.665510202, -80.712640135)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
CT,Connecticut,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,114506710,$,Dollars,"(41.56266102, -72.649840952)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
SD,South Dakota,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,7360000,$,Dollars,"(44.353130053, -100.373530637)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MN,Minnesota,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,61451715,$,Dollars,"(46.355648736, -94.794200503)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
